retailer_code:1,Division,Brand,pallet_number,full_,jnumber,model_number,title,Qty,msrp,Total Cost,Retail,Total Retail,Margin %,Margin $,eBay Price,sku,box,condition,condition_notes,band_size,date_listed,repair,manifested,upc
,Watches,Adee Kaye - Oniss,Watches4,J402288-00004-01593,J402288,,ONISS WOMENS CERAMICA AMOR COLLECTION CERAMIC BRACELET WATCH WHITE SIZE: WOMENS,1,$54.97,$54.97,,,,,,1095,,,,,,,X,
,Watches,Adee Kaye - Oniss,Watches4,J402288-00009-01593,J402288,,ONISS WOMENS CERAMICA AMOR COLLECTION CERAMIC BRACELET WATCH GREEN SIZE: WOMENS,1,$54.97,$109.94,,,,,,1096,no other 1,case broken,,,,,X,
,Watches,Android,Watches4,J436906-09540-04168,J436906,,ANDROID MENS STRATUS AUTOMATIC BRACELET WATCH ROSETONE MENS,1,$250.00,$250.00,,,,,,1097,,2,,7.25,,,X,
,Watches,Misc Brand,Watches4,J438791-00021-01593,J438791,,PORSAMO BLEU WOMENS THE CELESTE MOP DIAL BRACELET WATCH PINK WOMENS,1,$147.50,$295.00,,,,,,1098,,2,,6.25,,,X,
,Watches,Android,Watches4,J438928-00006-08420,J438928,,ANDROID 48MM OR 45MM BIOLUMINESCENCE T100 AUTOMATIC BRACELET WATCH BLUE 48MM,1,$325.00,$325.00,,,,,,1099,,2,scuffs on case and band,7.25,,,X,
,Watches,Android,Watches4,J440102-00003-04168,J440102,,ANDROID MENS TUNNELGRAPH QUARTZ CHRONO BRACELET WATCH BLACK MENS,1,$192.75,$192.75,,,,,,1100,,2,,7.75,,,X,
,Watches,Android,Watches4,J435693-00140-04168,J435693,,"ANDROID MENS TRANS 48 ""NIGHT VISION"" AUTOMATIC BRACELET WATCH W/RED 3-SLOT CASE YELLOW MENS",1,$137.50,$137.50,,,,,,1101,no movement 1,stem and crown broken,,,,,X,
,Watches,Misc Brand,Watches4,J438795-00465-04168,J438795,,PORSAMO BLEU MENS SOHO SWISS QUARTZ STRAP WATCH GOLDTONE MENS,1,$80.52,$80.52,,,,,,1102,no movement 1,stem broken,,,,,X,
,Watches,Adee Kaye - Oniss,Watches4,J431122-00152-01593,J431122,,TTV ONISS WOMENS BELLISSIMA CERAMIC BRACELET WATCH WITH SWAROVSKI ELEMENTS GUNMETAL WOMENS,1,$49.83,$99.66,,,,,,1103,,2,,6.5,,,X,
,Watches,Adee Kaye - Oniss,Watches4,J431122-00004-01593,J431122,,TTV ONISS WOMENS BELLISSIMA CERAMIC BRACELET WATCH WITH SWAROVSKI ELEMENTS WHITE WOMENS,1,$49.83,$99.66,,,,,,1104,,2,,6.5,,,X,
,Watches,Invicta,Watches4,J443003-00466-01593,J443003,,TTV INVICTA GRAND OR BABY LUPAH QUARTZ STAINLESS STEEL BRACELET WATCH SILVERTONE WOMENS,1,$59.98,$59.98,,,,,,1105,no movement 1,dead battery,,8.25,,,X,
,Watches,Invicta,Watches4,J442964-00000-04168,J442964,,INVICTA MENS PRO DIVER QUARTZ BRACELET WATCH SET OF 3 W/ 3DC NO COLOR MENS,1,$271.00,$271.00,,,,,,1106,,2,multiple watches,,,,X,
,Watches,Invicta,Watches4,J441763-08900-04168,J441763,,INVICTA MENS PRO DIVER AUTOMATIC DATE BRACELET WATCH W/ 1DC GOLDTONE / BLUE MENS,1,$128.75,$128.75,,,,,,1107,,2,,8,,,X,
,Watches,Invicta,Watches4,J432248-08442-04168,J432248,,INVICTA MENS PRO DIVER SLICER QUARTZ CHRONO POLYURETHANE STRAP WATCH SILVERTONE / RED MENS,1,$109.89,$109.89,,,,,,1108,,2,,,,,X,
,Watches,Invicta,Watches4,J431644-00020-01593,J431644,,INVICTA WOMENS CORDUBA QUARTZ MULTIFUNCTION STRAP WATCH GREY WOMENS,1,$49.39,$49.39,,,,,,1109,no other 1,cracked crystal,,,,,X,
,Watches,Invicta,Watches4,J410905-01442-04168,J410905,,INVICTA MENS RUSSIAN DIVER LIMITED EDITION ARTIST SERIES POLY STRAP WATCH BLACK / RED SIZE: MENS,1,$218.26,$218.26,,,,,,1110,no movement 1,no second hand movement stuck,,,,,X,
